ts;uuid;id_user;gclid;user_recurrent;url_landing
2021-09-06 0:3:5.816;5d612df4-b04a-48b3-a398-25e542d0d7cf;fe1e23b7-5925-428e-b103-c1803a8a802a;Cj0KCQjw1dGJBhD4ARIsANb6OdkNOTEPAcfCTEAhlJfk6gfW8q3jYHKPR9gh0BB9cT32y2lmnxF79l0aAh6NEALw_wcB;true;https://www.metropolis.com/es/?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkNOTEPAcfCTEAhlJfk6gfW8q3jYHKPR9gh0BB9cT32y2lmnxF79l0aAh6NEALw_wcB&idUser=fe1e23b7-5925-428e-b103-c1803a8a802a&uuid=5d612df4-b04a-48b3-a398-25e542d0d7cf&camp=732187328&adg=46724581628&device=m&sl=&adv=533531999904&rec=true&
2021-09-06 0:3:27.098;2ae80a9e-4a1d-495f-bfc7-24a2ee462cda;5fcc8b47-8fa0-4791-a6b8-6260f2ab0888;Cj0KCQjw1dGJBhD4ARIsANb6OdmYnQIBLDemeVg6nbOtVVlqgU02Z3FgfQEefr98pUEyPdUTCj-CQWAaAlhyEALw_wcB;false;https://www.metropolis.com/es/ixs-electrico?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdmYnQIBLDemeVg6nbOtVVlqgU02Z3FgfQEefr98pUEyPdUTCj-CQWAaAlhyEALw_wcB&idUser=5fcc8b47-8fa0-4791-a6b8-6260f2ab0888&uuid=2ae80a9e-4a1d-495f-bfc7-24a2ee462cda&camp=1646697023&adg=61477462725&device=c&sl=&adv=379120564696&rec=false&
2021-09-06 0:3:30.475;e8cbd723-b9ec-4a61-8044-bd7d30756154;add08a93-d03a-449c-bf09-9c1535ce2419;Cj0KCQjw1dGJBhD4ARIsANb6OdkuQkoBgr2y0lU5c3la2saj9oRGyLDv4oI4MbcJWMVP-SYlnZXuRE4aAllHEALw_wcB;false;https://www.metropolis.com/es/tria?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkuQkoBgr2y0lU5c3la2saj9oRGyLDv4oI4MbcJWMVP-SYlnZXuRE4aAllHEALw_wcB&idUser=add08a93-d03a-449c-bf09-9c1535ce2419&uuid=e8cbd723-b9ec-4a61-8044-bd7d30756154&camp=1648648995&adg=62589383945&device=m&sl=&adv=481025151787&rec=false&
2021-09-06 0:3:48.196;c75d0e0d-f3de-4746-ae66-72fbf4d7bf71;0882f78e-0295-458a-934d-18278c31adc7;Cj0KCQjw1dGJBhD4ARIsANb6OdmPt8bwmNTJnZJinw0MUhH75_4WlKH36no7PBu4LfpRJSXUXFNAbdcaAivkEALw_wcB;false;https://www.metropolis.com/es/tria?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdmPt8bwmNTJnZJinw0MUhH75_4WlKH36no7PBu4LfpRJSXUXFNAbdcaAivkEALw_wcB&idUser=0882f78e-0295-458a-934d-18278c31adc7&uuid=c75d0e0d-f3de-4746-ae66-72fbf4d7bf71&camp=1648648995&adg=62589383945&device=m&sl=&adv=481025151796&rec=false&
2021-09-06 0:4:0.649;2817a76c-b912-49f0-b826-31d92fb38acf;c33f22df-997a-481f-9d51-df94e0689d3d;Cj0KCQjw1dGJBhD4ARIsANb6Odnrixsd4Gcl1wcT68auujAEYLofThCVp8AbOJ091C2UeTkfHLvFnbcaAsvwEALw_wcB;true;https://www.metropolis.com/es/?gclid=Cj0KCQjw1dGJBhD4ARIsANb6Odnrixsd4Gcl1wcT68auujAEYLofThCVp8AbOJ091C2UeTkfHLvFnbcaAsvwEALw_wcB&idUser=c33f22df-997a-481f-9d51-df94e0689d3d&uuid=2817a76c-b912-49f0-b826-31d92fb38acf&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=true&
2021-09-06 13:44:21.471;54bfdfe1-69ca-4e22-bf78-90923d1e9bf9;59257b75-5389-49e4-b1aa-5997ecfdc7f9;Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB;true;https://www.metropolis.com/es/cea?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB&idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9&uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9&camp=1648174978&adg=62589482065&device=m&sl=&adv=494939238432&rec=true&
2021-09-06 0:4:26.438;d7a9fa73-c3e6-41f7-9eb1-d87620d9ab0d;53f1a3fa-8fc4-4aeb-87a0-dcbe059339ae;EAIaIQobChMIwPu5t4qs3AIVAQAAAB0BAAAAEAAYACAAEgJVzfD_BwE;false;https://www.metropolis.com/es/life?gclid=EAIaIQobChMIwPu5t4qs3AIVAQAAAB0BAAAAEAAYACAAEgJVzfD_BwE&idUser=53f1a3fa-8fc4-4aeb-87a0-dcbe059339ae&uuid=d7a9fa73-c3e6-41f7-9eb1-d87620d9ab0d&camp=13352855428&adg=126733863807&device=m&sl=&adv=525407334173&rec=false&
2021-09-06 0:4:40.306;4f9eaa73-c3e6-41f7-9eb1-d87620d9ab0d;cbe653fa-8fc4-4aeb-87a0-dcbe059339ae;EAIaIQobChMIwPu5t4qs3AIVAQAAAB0BAAAAEAAYACAAEgJVzfD_BwE;false;https://www.metropolis.com/es/k43/descargar-catalogo?gclid=EAIaIQobChMIwPu5t4qs3AIVAQAAAB0BAAAAEAAYACAAEgJVzfD_BwE&idUser=cbe653fa-8fc4-4aeb-87a0-dcbe059339ae&uuid=4f9eaa73-c3e6-41f7-9eb1-d87620d9ab0d&camp=1724235562&adg=67441804237&device=m&sl=&adv=379120588054&rec=false&
2021-09-06 0:4:40.790;daaaea02-a7b3-4291-9148-7379e81d4ad4;e604825d-b780-48d1-b65b-89e86e0671d5;Cj0KCQjw1dGJBhD4ARIsANb6OdnvNrss0CmT-b4WqktU6P5MbIFRk3bj0fRDq3WBnywko-rK6yEQEZsaAlSYEALw_wcB;false;https://www.metropolis.com/es/clin200?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnvNrss0CmT-b4WqktU6P5MbIFRk3bj0fRDq3WBnywko-rK6yEQEZsaAlSYEALw_wcB&idUser=e604825d-b780-48d1-b65b-89e86e0671d5&uuid=daaaea02-a7b3-4291-9148-7379e81d4ad4&camp=13352768128&adg=118216881010&device=m&sl=&adv=525403074122&rec=false&
2021-09-06 0:4:43.202;c31cef27-700f-4e75-a5e2-2f10427b8b9b;ad983b54-d48c-4aa8-9241-b5c49d83428c;Cj0KCQjw1dGJBhD4ARIsANb6OdnCz3gI3tgGzbLgHXP-br2VFReSsUh4IG2PSS2YKBMre3V4JhrOxdIaAg4lEALw_wcB;true;https://www.metropolis.com/es/?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnCz3gI3tgGzbLgHXP-br2VFReSsUh4IG2PSS2YKBMre3V4JhrOxdIaAg4lEALw_wcB&idUser=ad983b54-d48c-4aa8-9241-b5c49d83428c&uuid=c31cef27-700f-4e75-a5e2-2f10427b8b9b&camp=732187328&adg=46724581628&device=m&sl=&adv=533655604703&rec=true&
2021-09-06 0:4:47.293;0dc35d5b-f8f3-4b4b-aa69-bf1460fbfc8d;ce821ef9-b1b1-4fe8-96e8-7caafedb84f2;Cj0KCQjw1dGJBhD4ARIsANb6OdnsCY-bxFKzl3bvdvI_lrDV5Bq27haMizYYbSX0l9DKNOA9LPH9FdMaAhHHEALw_wcB;true;https://www.metropolis.com/es/?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnsCY-bxFKzl3bvdvI_lrDV5Bq27haMizYYbSX0l9DKNOA9LPH9FdMaAhHHEALw_wcB&idUser=ce821ef9-b1b1-4fe8-96e8-7caafedb84f2&uuid=0dc35d5b-f8f3-4b4b-aa69-bf1460fbfc8d&camp=732187328&adg=46724581628&device=m&sl=&adv=533655604703&rec=true&
2021-09-06 0:5:10.227;0bfa16dc-a483-4671-8bf6-41cff60b89b1;efb412fe-c584-4eaf-8523-f1e1b63ac171;Cj0KCQjw1dGJBhD4ARIsANb6OdmpcXHqrCa4XHwj1XQTGt_Bpef3Js0Q6PmQVmKnVuQzsr0snXVSeTcaAtY1EALw_wcB;false;https://www.metropolis.com/es/clin400?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdmpcXHqrCa4XHwj1XQTGt_Bpef3Js0Q6PmQVmKnVuQzsr0snXVSeTcaAtY1EALw_wcB&idUser=efb412fe-c584-4eaf-8523-f1e1b63ac171&uuid=0bfa16dc-a483-4671-8bf6-41cff60b89b1&camp=732401028&adg=46724585188&device=m&sl=&adv=477211734929&rec=false&
2021-09-06 0:5:13.225;daaaea02-a7b3-4291-9148-7379e81d4ad4;e604825d-b780-48d1-b65b-89e86e0671d5;Cj0KCQjw1dGJBhD4ARIsANb6OdnvNrss0CmT-b4WqktU6P5MbIFRk3bj0fRDq3WBnywko-rK6yEQEZsaAlSYEALw_wcB;true;https://www.metropolis.com/es/clin200?gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnvNrss0CmT-b4WqktU6P5MbIFRk3bj0fRDq3WBnywko-rK6yEQEZsaAlSYEALw_wcB&idUser=e604825d-b780-48d1-b65b-89e86e0671d5&uuid=daaaea02-a7b3-4291-9148-7379e81d4ad4&camp=13352768128&adg=118216881010&device=m&sl=&adv=525403074122&rec=true&
